IDMatch,LeagueName,HomeTeam,AwayTeam,TimeStart,Date,Gwinner,GLoser,Referee,Venue,Attendance,Round,Status
g_1_0ULKbz4k,Premier League ,Nottingham,Tottenham,22:30,2022-08-28,0,2, Pawson C. (Eng),City Ground (Nottingham), 29296,  Round 4,Finished
g_1_Qk2WKQKi,Premier League ,Aston Villa,West Ham,20:00,2022-08-28,0,1, Coote D. (Eng),Villa Park (Birmingham), 41796,  Round 4,Finished
g_1_KWyMdEY1,Premier League ,Wolves,Newcastle,20:00,2022-08-28,1,1, Bankes P. (Eng),Molineux Stadium (Wolverhampton), 31000,  Round 4,Finished
