IDMatch,LeagueName,HomeTeam,AwayTeam,TimeStart,Date,Gwinner,GLoser,Referee,Venue,Attendance,Round,Status
g_1_tfzLo9sb,Premier League ,Fulham,Manchester Utd,23:30,2022-11-13,1,2, Tierney P. (Eng),Craven Cottage (London), 24246,  Round 16,Finished
g_1_CKVGnkSi,Premier League ,Brighton,Aston Villa,21:00,2022-11-13,1,2, Kavanagh C. (Eng),Amex Stadium (Brighton), 31581,  Round 16,Finished
g_1_hhMByPJj,Premier League ,Wolves,Arsenal,02:45,2022-11-13,0,2, Attwell S. (Eng),Molineux Stadium (Wolverhampton), 34624,  Round 16,Finished
g_1_0fsXr7RG,Premier League ,Newcastle,Chelsea,00:30,2022-11-13,1,0, Jones R. (Eng),St. James' Park (Newcastle), 52264,  Round 16,Finished
